Designator,Mid X,Mid Y,Rotation,Layer
C101,119.2096,-61.755,0.0,top
C102,139.1983,-71.5318,270.0,top
C103,138.0496,-79.305,0.0,top
C104,122.9496,-73.675,270.0,top
C105,125.3196,-65.205,0.0,top
C106,125.2896,-68.965,0.0,top
C107,137.5196,-66.635,270.0,top
C108,141.3596,-66.585,270.0,top
C109,144.5496,-66.315,270.0,top
C110,127.0396,-59.465,180.0,top
C111,146.2496,-52.885,0.0,top
C112,145.0996,-76.915,180.0,top
C113,141.2112,-76.9374,0.0,top
C114,135.9896,-57.205,90.0,top
C201,116.1306,-92.367398,270.0,top
C202,134.7906,-92.707398,270.0,top
C203,121.9006,-89.647398,180.0,top
C204,118.0006,-89.697398,180.0,top
C205,130.4106,-89.767398,180.0,top
C206,134.5106,-89.747398,180.0,top
C207,119.83,-99.62,180.0,top
C208,131.7506,-101.237398,180.0,top
C209,131.783901,-98.736648,180.0,top
C210,147.7596,-89.115,0.0,top
C211,173.8686,-87.757898,180.0,top
C212,154.7554,-89.065098,0.0,top
C213,166.6254,-94.730298,270.0,top
C301,115.8977,-116.742398,270.0,top
C302,134.5577,-117.082398,270.0,top
C303,121.6677,-114.022398,180.0,top
C304,117.7677,-114.072398,180.0,top
C305,130.1777,-114.142398,180.0,top
C306,134.2777,-114.122398,180.0,top
C307,119.47,-124.21,180.0,top
C308,131.5177,-125.612398,180.0,top
C309,131.551001,-123.111648,180.0,top
C310,147.5267,-113.49,0.0,top
C311,173.6357,-112.132898,180.0,top
C312,154.5225,-113.440098,0.0,top
C313,166.3925,-119.105298,270.0,top
D101,119.1976,-68.7146,180.0,top
D102,131.5996,-65.155,180.0,top
H301,101.84,-42.62,0.0,top
H302,192.705,-42.62,0.0,top
H303,192.98,-132.79,0.0,top
H304,101.84,-132.79,0.0,top
J1,119.9596,-53.1786,0.0,top
J101,106.3596,-61.7325,90.0,top
J201,104.8785,-92.541998,270.0,top
J301,104.6456,-116.916998,270.0,top
L101,155.0696,-60.805,180.0,top
L102,140.7396,-55.485,270.0,top
R101,129.7707,-76.815,0.0,top
R102,133.4507,-76.785,0.0,top
R103,135.4696,-79.295,0.0,top
R104,130.5496,-54.225,0.0,top
R105,134.8196,-54.155,180.0,top
R106,137.3007,-76.785,0.0,top
R201,112.009649,-93.223549,90.0,top
R202,169.9986,-99.907898,0.0,top
R203,169.9886,-97.527898,0.0,top
R204,173.8886,-97.527898,0.0,top
R205,168.9586,-89.927898,270.0,top
R206,154.3554,-99.526098,180.0,top
R207,173.8886,-100.037898,180.0,top
R208,159.5554,-100.050298,90.0,top
R301,111.776749,-117.598549,90.0,top
R302,169.7657,-124.282898,0.0,top
R303,169.7557,-121.902898,0.0,top
R304,173.6557,-121.902898,0.0,top
R305,168.7257,-114.302898,270.0,top
R306,154.1225,-123.901098,180.0,top
R307,173.6557,-124.412898,180.0,top
R308,159.3225,-124.425298,90.0,top
RV201,189.912374,-99.656347,180.0,top
RV202,189.869974,-88.827547,180.0,top
RV301,189.679474,-124.031347,180.0,top
RV302,189.637074,-113.202547,180.0,top
U101,131.8307,-71.735,0.0,top
U102,131.5696,-58.6225,180.0,top
U103,143.039599,-72.7302,180.0,top
U201,119.3884,-94.359698,0.0,top
U202,131.873901,-94.089697,0.0,top
U203,145.9506,-94.617398,270.0,top
U204,174.0586,-92.455398,270.0,top
U205,154.7554,-94.617398,270.0,top
U206,162.7604,-89.350298,180.0,top
U207,162.5904,-94.807798,180.0,top
U208,162.9804,-84.059898,180.0,top
U301,119.1555,-118.734698,0.0,top
U302,131.641001,-118.464697,0.0,top
U303,145.7177,-118.992398,270.0,top
U304,173.8257,-116.830398,270.0,top
U305,154.5225,-118.992398,270.0,top
U306,162.5275,-113.725298,180.0,top
U307,162.3575,-119.182798,180.0,top
U308,162.7475,-108.434898,180.0,top
